nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk02	map	dupa
96	254	23	17	30000.00000000	-30000.00000000	u,古戰場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
97	253	23	17	30000.00000000	-30000.00000000	u,東部國境守備隊\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
98	255	22	17	30000.00000000	-30000.00000000	u,山賊城寨\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
99	255	22	18	30000.00000000	-4632.00000000	u,象牙塔\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
100	254	22	19	30000.00000000	-30000.00000000	u,歐瑞城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
101	255	22	19	30000.00000000	-30000.00000000	u,歐瑞城鎮\0	1250	1595	75136	48768	1024	1024	0.05000000	a,map_town_of_oren\0	0
102	254	22	20	30000.00000000	-3900.00000000	u,蜥蜴草原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
103	255	23	19	30000.00000000	-30000.00000000	u,妖精谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
104	255	21	18	30000.00000000	-30000.00000000	u,孢子之海\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
105	253	22	19	30000.00000000	-30000.00000000	u,權能培訓場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
106	255	19	19	30000.00000000	-30000.00000000	u,沼澤地區\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
107	255	20	18	30000.00000000	-30000.00000000	u,黑暗精靈村莊\0	885	1394	768	9344	1024	1024	0.05000000	a,map_dark_elven_village\0	0
108	254	20	18	30000.00000000	-30000.00000000	u,席琳神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
109	255	18	20	30000.00000000	-4000.00000000	u,黑暗精靈成人祭壇\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
110	255	18	19	30000.00000000	-30000.00000000	u,黑魔法學院\0	608	1572	-57500	39808	1024	1024	0.05000000	a,dungeon_map_black_magic_laboratory\0	0
111	254	21	19	30000.00000000	-30000.00000000	u,世界樹的樹蔭\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
112	255	21	20	30000.00000000	-30000.00000000	u,愛麗絲湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
113	255	21	19	30000.00000000	-30000.00000000	u,精靈村莊\0	1071	1568	39168	42688	1024	1024	0.05000000	a,map_elven_village\0	0
114	255	20	20	-3200.00000000	-4450.00000000	u,精靈的地底要塞\0	958	1687	8320	68086	1024	1024	0.05000000	a,dungeon_map_elven_underground_fortress\0	0
115	253	21	19	30000.00000000	-30000.00000000	u,星光的瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
116	255	22	23	30000.00000000	-30000.00000000	u,寧靜平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
117	255	22	24	30000.00000000	-30000.00000000	u,細語平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
118	255	23	24	30000.00000000	-30000.00000000	u,水上都市海音斯\0	1391	2436	101504	212608	1024	1024	0.05000000	a,map_heine\0	0
119	255	21	24	30000.00000000	-30000.00000000	u,惡魔島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
120	255	23	23	30000.00000000	-30000.00000000	u,鱷魚島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
121	255	22	25	30000.00000000	-30000.00000000	u,伊娃的水中庭園\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
122	254	23	24	30000.00000000	-30000.00000000	u,遊覽船碼頭\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
123	255	23	25	30000.00000000	-30000.00000000	u,因納得立城\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
124	254	21	24	30000.00000000	-30000.00000000	u,海賊隧道\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
125	249	17	21	-3968.00000000	-5056.00000000	u,黎明的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
126	249	17	20	-4224.00000000	-5312.00000000	u,黃昏的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
127	249	18	20	-4064.00000000	-4896.00000000	u,苦行者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
128	249	18	24	-4282.00000000	-5242.00000000	u,祭物的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
129	249	19	18	-4224.00000000	-5056.00000000	u,凶煞的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
130	249	19	20	-4496.00000000	-5328.00000000	u,烈士的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
131	249	21	21	-4736.00000000	-5568.00000000	u,巡禮者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
132	249	21	22	-4704.00000000	-5536.00000000	u,異端者的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
133	249	21	23	-4304.00000000	-5136.00000000	u,烙印的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
134	249	22	20	-3936.00000000	-5280.00000000	u,異教徒的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
135	249	22	24	-4762.00000000	-5594.00000000	u,聖者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
136	249	23	20	-5352.00000000	-6696.00000000	u,密謀者的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
137	249	23	22	-4154.00000000	-4986.00000000	u,殉教者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
138	249	23	23	-4762.00000000	-5594.00000000	u,參拜者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
139	249	24	20	-3984.00000000	-5584.00000000	u,魔道的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
140	249	25	17	-4224.00000000	-5644.00000000	u,使徒的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
141	255	16	10	30000.00000000	-30000.00000000	u,GM諮詢處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
142	255	18	24	-4282.00000000	-5242.00000000	u,祭物的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
143	253	17	20	-4224.00000000	-5312.00000000	u,黃昏的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
144	249	17	20	30000.00000000	-4220.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
145	250	17	20	-4224.00000000	-5312.00000000	u,黃昏的神諭處\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
146	250	17	20	30000.00000000	-4220.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
147	252	18	22	30000.00000000	-30000.00000000	u,帕米爾湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
148	252	17	22	30000.00000000	-30000.00000000	u,帕米爾湖\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
149	255	19	24	30000.00000000	-4200.00000000	u,朗克蜥蜴人兵營\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
150	253	18	24	30000.00000000	-30000.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
151	253	19	24	30000.00000000	-30000.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
152	253	18	23	-3760.00000000	-5632.00000000	u,遺忘神殿\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
153	254	21	23	30000.00000000	-30000.00000000	u,塔諾峽谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
154	254	22	22	30000.00000000	-30000.00000000	u,塔諾峽谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
155	253	21	23	30000.00000000	-30000.00000000	u,蜜蜂蜂窩\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
156	254	23	18	30000.00000000	-30000.00000000	u,古戰場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
157	249	18	24	30000.00000000	-4200.00000000	u,赤岩稜線\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
158	249	22	20	30000.00000000	-3900.00000000	u,歐瑞領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
159	254	22	20	-3936.00000000	-5280.00000000	u,異教徒的地下墓穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
160	249	17	21	30000.00000000	-3950.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
161	249	18	20	30000.00000000	-4000.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
162	255	18	20	-4064.00000000	-4896.00000000	u,苦行者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
163	250	18	20	30000.00000000	-4000.00000000	u,薄霧山脈\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
164	250	18	20	-4064.00000000	-4896.00000000	u,苦行者的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
165	250	19	20	-4496.00000000	-5328.00000000	u,烈士的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
166	249	19	20	30000.00000000	-4480.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
167	250	19	20	30000.00000000	-4480.00000000	u,中立地帶\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
168	249	19	18	30000.00000000	-4220.00000000	u,黑暗精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
169	249	21	21	30000.00000000	-4700.00000000	u,反抗軍根據地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
170	249	21	22	30000.00000000	-4700.00000000	u,刑場\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
171	249	21	23	30000.00000000	-4300.00000000	u,奇岩領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
172	249	22	24	30000.00000000	-4760.00000000	u,細語平原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
173	249	23	20	30000.00000000	-5350.00000000	u,獵人村莊\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
174	249	23	22	30000.00000000	-4150.00000000	u,哥肯的花園\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
175	249	23	23	30000.00000000	-4760.00000000	u,鱷魚島\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
176	249	24	20	30000.00000000	-3980.00000000	u,鏡之森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
177	255	25	17	-4224.00000000	-5644.00000000	u,使徒的古代公墓\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
178	255	25	21	30000.00000000	-30000.00000000	u,安塔瑞斯巢穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
179	254	19	23	30000.00000000	-4400.00000000	u,荒原\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
180	255	20	14	30000.00000000	29999.00000000	u,里歐領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
181	255	20	20	30000.00000000	-3100.00000000	u,精靈森林\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
182	254	18	23	30000.00000000	-3700.00000000	u,古魯丁領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
183	255	24	12	30000.00000000	3430.00000000	u,修加特領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
184	255	25	12	30000.00000000	4250.00000000	u,修加特領地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
185	254	25	19	30000.00000000	-5170.00000000	u,巨人洞穴\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
186	254	19	19	30000.00000000	-30000.00000000	u,水精的瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
187	254	22	18	30000.00000000	-30000.00000000	u,諸神的祭壇瀑布\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
188	249	25	17	30000.00000000	-4220.00000000	u,殺戮的大地\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
189	244	19	13	30000.00000000	-30000.00000000	u,不滅高原北部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
190	244	19	14	30000.00000000	-30000.00000000	u,不滅高原北部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
191	244	19	15	30000.00000000	-30000.00000000	u,不滅高原北部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
192	244	20	13	30000.00000000	-30000.00000000	u,不滅高原北部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
193	244	20	14	30000.00000000	-30000.00000000	u,不滅高原北部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
194	245	19	15	30000.00000000	-30000.00000000	u,不滅高原南部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
195	245	20	14	30000.00000000	-30000.00000000	u,不滅高原南部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
196	245	20	15	30000.00000000	-30000.00000000	u,不滅高原南部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
197	243	18	14	30000.00000000	-30000.00000000	u,英雄之谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
198	243	19	14	30000.00000000	-30000.00000000	u,英雄之谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
199	243	23	12	30000.00000000	-30000.00000000	u,冰凍之谷\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
200	244	23	11	30000.00000000	-30000.00000000	u,山脈礦區西部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
201	244	23	12	30000.00000000	-30000.00000000	u,山脈礦區西部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
202	244	24	11	30000.00000000	-30000.00000000	u,山脈礦區西部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
203	244	24	12	30000.00000000	-30000.00000000	u,山脈礦區西部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
204	245	24	11	30000.00000000	-30000.00000000	u,山脈礦區東部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
205	245	24	12	30000.00000000	-30000.00000000	u,山脈礦區東部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
206	245	25	11	30000.00000000	-30000.00000000	u,山脈礦區東部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
207	245	25	12	30000.00000000	-30000.00000000	u,山脈礦區東部\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
208	244	23	24	30000.00000000	-30000.00000000	u,鱷魚的白沙灘\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
