id	name	val1	val2
74	a,ShowWindow Name=RadarMapWnd\0	752	A0E
75	a,ShowWindow Name=StatusWnd\0	753	A0F
76	a,ShowWindow Name=SystemMenuWnd\0	754	A10
77	a,ShowWindow Name=FN_HideDropItemSilhauette\0	755	A11
78	a,ShowWindow Name=FN_SendTargetedCharacterMessage\0	756	A12
79	a,ShowWindow Name=FN_MuteAllAudio\0	757	A13
80	a,ShowWindow Name=FN_SHORTCUTEXPAND\0	758	A14
81	a,ShowWindow Name=FN_UILocReset\0	759	A15
82	a,LeftTurn\0	75A	A16
83	a,RightTurn\0	75B	A17
84	a,MoveForward\0	75C	A18
85	a,MoveBackward\0	75D	A19
86	a,AutoMove\0	75E	A1A
87	a,ZoomIn\0	75F	A1B
88	a,ZoomOut\0	760	A1C
89	a,TurnBack\0	761	A1D
90	a,ShowWindow Name=GMWnd\0	762	A1E
91	a,ShowWindow Name=GMPetitionWnd\0	763	A1F
92	a,ShowWindow Name=FN_SCTog\0	764	A20
93	a,FixedDefaultCamera Down\0	765	A21
94	a,FixedDefaultCamera Up\0	766	A22
95	a,FixedDefaultCamera\0	767	A23
96	a,StopLeftTurn\0	768	A24
97	a,StopRightTurn\0	769	A25
98	a,StopMoveForward\0	76A	A26
99	a,StopMoveBackward\0	76B	A27
100	a,EulaWndOKButton\0	834	AF0
101	a,ChinaWarnMsgOKButton\0	835	AF1
102	a,ServerSelectOKButton\0	836	AF2
103	a,BroadcastShowPartyWindow\0	837	AF3
104	a,BroadcastLockPosition\0	838	AF4
105	a,BroadcastInitPosition\0	839	AF5
106	a,BroadcastToggleShowClassOrName\0	83A	AF6
107	a,BroadcastToggleTargetName\0	83B	AF7
108	a,BroadcastSwitchMessageMode\0	83C	AF8
109	a,BroadcastShowPartyWindow\0	83D	AF9
110	a,BroadcastLockPosition\0	83E	AFA
111	a,BroadcastInitPosition\0	83F	AFB
112	a,BroadcastToggleShowClassOrName\0	840	AFC
113	a,BroadcastToggleTargetName\0	841	AFD
114	a,BroadcastSwitchMessageMode\0	842	AFE
115	a,ShowChatWindow\0	843	AFF
116	a,ReserveShortcutItem Num=120\0	844	B00
117	a,ReserveShortcutItem Num=121\0	845	B01
118	a,ReserveShortcutItem Num=122\0	846	B02
119	a,ReserveShortcutItem Num=123\0	847	B03
120	a,ReserveShortcutItem Num=124\0	848	B04
121	a,ReserveShortcutItem Num=125\0	849	B05
122	a,ReserveShortcutItem Num=126\0	84A	B06
123	a,ReserveShortcutItem Num=127\0	84B	B07
124	a,ReserveShortcutItem Num=128\0	84C	B08
125	a,ReserveShortcutItem Num=129\0	84D	B09
126	a,ReserveShortcutItem Num=130\0	84E	B0A
127	a,ReserveShortcutItem Num=131\0	84F	B0B
128	a,ReserveShortcutItem Num=132\0	850	B0C
129	a,ReserveShortcutItem Num=133\0	851	B0D
130	a,ReserveShortcutItem Num=134\0	852	B0E
131	a,ReserveShortcutItem Num=135\0	853	B0F
132	a,ReserveShortcutItem Num=136\0	854	B10
133	a,ReserveShortcutItem Num=137\0	855	B11
134	a,ReserveShortcutItem Num=138\0	856	B12
135	a,ReserveShortcutItem Num=139\0	857	B13
136	a,ReserveShortcutItem Num=140\0	858	B14
137	a,ReserveShortcutItem Num=141\0	859	B15
138	a,ReserveShortcutItem Num=142\0	85A	B16
139	a,ReserveShortcutItem Num=143\0	85B	B17
140	a,UseReservedShortcutItem\0	85C	B18
141	a,MoveUp\0	85D	B19
142	a,MoveDown\0	85E	B1A
143	a,MoveUpAirship\0	85F	B1B
144	a,MoveDownAirship\0	860	B1C
145	a,AutoMovingForward\0	861	B1D
146	a,StopUseReservedShortcutItem\0	862	B1E
147	a,StopMoveUp\0	863	B1F
148	a,StopMoveDown\0	864	B20
149	a,StopMoveUpAirship\0	865	B21
150	a,StopMoveDownAirship\0	866	B22
151	a,StopMoveAll\0	867	B23
152	a,StopMoveAirship\0	868	B24
